,UID,Degree,Weighted.Degree
0,16281,1,4.5
1,15012,2,6.333333333333333
2,2151,5,20.00980392156863
3,18112,21,134.7677117000646
4,15369,10,29.141025641025642
5,23067,14,61.22851037851037
6,30071,7,22.029059829059825
7,32168,3,10.658333333333333
8,19227,4,14.583333333333332
9,32133,1,4.5
10,2610,1,5.6
11,12197,8,25.116666666666667
12,30842,1,2.3166666666666664
13,24902,16,67.95566378066377
14,30938,1,2.666666666666667
15,32441,10,38.85238095238095
16,17752,1,2.833333333333333
17,20177,6,15.061904761904762
18,19499,8,20.64444444444445
19,23537,13,85.83304473304474
20,28329,10,65.90555555555555
21,31956,8,33.99404761904762
22,5491,6,23.016666666666662
23,26181,12,44.64170274170274
24,13876,11,50.95833333333333
25,25178,14,60.028571428571425
26,14145,1,3.0
27,21651,2,5.7
28,12763,2,8.59090909090909
29,22255,46,180.28882243487504
30,12499,1,4.2
31,21963,3,11.583333333333332
32,21287,10,63.65
33,27270,22,81.13154068154067
34,12055,2,7.5
35,28730,7,25.952631578947365
36,11128,2,4.938095238095238
37,15718,3,9.904761904761905
38,4807,1,3.0
39,16009,11,32.65714285714285
40,19182,1,3.783333333333333
41,6348,1,2.571428571428571
42,21009,2,6.767857142857142
43,24396,1,4.125
44,5332,5,23.794817927170868
45,26221,19,46.61029411764706
46,20817,15,40.893468296409466
47,12001,1,2.833333333333333
48,14982,2,5.833333333333333
49,27979,7,34.55
50,20533,1,6.0
51,31423,1,6.0
52,21862,1,2.833333333333333
53,7139,3,13.666666666666666
54,7201,5,16.644155844155843
55,9583,5,24.43452380952381
56,1298,3,8.476190476190476
57,2353,1,2.833333333333333
58,16112,17,56.74935897435897
59,3487,8,24.633838383838384
60,10295,6,23.93253968253968
61,890,11,30.86212121212121
62,6206,3,10.472727272727273
63,10631,3,11.722727272727273
64,14163,38,206.28914320973144
65,15231,21,68.40614801864803
66,15234,3,16.966666666666665
67,16810,7,26.316666666666666
68,25030,1,5.5
69,26831,3,9.566666666666666
70,10259,12,74.36098901098902
71,32272,13,61.17124542124543
72,24909,1,2.75
73,30538,2,5.75
74,12978,7,27.835714285714285
75,17971,3,12.392857142857142
76,6557,2,4.888888888888889
77,8459,6,37.02777777777777
78,3764,14,76.30555555555554
79,25491,15,71.3829365079365
80,12304,2,5.160256410256411
81,23388,2,8.444444444444445
82,5913,45,264.20271322245003
83,20653,9,37.84285714285714
84,28280,39,176.33041819291824
85,32114,13,41.62500000000001
86,20706,3,9.244047619047619
87,29297,11,56.19209956709956
88,13467,2,8.125
89,17244,2,5.5
90,13459,1,3.95
91,20495,4,22.78181818181818
92,425,14,91.11309523809523
93,519,10,47.892857142857146
94,17583,2,8.276923076923076
95,14279,2,6.0
96,25273,4,10.766666666666666
97,94,4,11.62142857142857
98,15727,5,26.416666666666664
99,16513,13,46.620879120879124
100,22529,5,34.74999999999999
101,28879,23,100.98589743589744
102,7628,3,17.61111111111111
103,17217,3,9.883333333333333
104,7443,10,36.97727272727272
105,10793,12,58.06060606060606
106,17746,4,41.760822510822514
107,18472,4,13.666666666666664
108,26165,9,31.735930735930737
109,27830,2,8.166666666666668
110,4881,17,56.233333333333334
111,7421,9,32.56428571428572
112,4530,14,55.38717948717948
