"","CRID","no_of_officers"
"1","035735",1
"2","050876",1
"3","051271",1
"4","051597",1
"5","052045",1
"6","052094",1
"7","053661",2
"8","054286",2
"9","056104",1
"10","058189",1
"11","058264",1
"12","093392",1
"13","1000002",2
"14","1000004",2
"15","1000006",2
"16","1000007",1
"17","1000009",12
"18","1000010",2
"19","1000014",1
"20","1000015",2
"21","1000016",2
"22","1000018",1
"23","1000020",1
"24","1000022",1
"25","1000023",3
"26","1000025",1
"27","1000028",2
"28","1000031",2
"29","1000033",1
"30","1000034",1
"31","1000035",1
"32","1000036",2
"33","1000037",2
"34","1000042",1
"35","1000043",6
"36","1000052",2
"37","1000054",2
"38","1000062",1
"39","1000065",2
"40","1000066",2
"41","1000067",1
"42","1000068",2
"43","1000069",1
"44","1000073",3
"45","1000080",1
"46","1000082",3
"47","1000085",1
"48","1000092",1
"49","1000094",1
"50","1000096",1
"51","1000097",1
"52","1000098",1
"53","1000101",1
"54","1000102",1
"55","1000104",1
"56","1000105",1
"57","1000108",1
"58","1000111",2
"59","1000112",2
"60","1000116",1
"61","1000118",1
"62","1000122",1
"63","1000123",1
"64","1000130",2
"65","1000136",2
"66","1000138",1
"67","1000140",3
"68","1000141",1
"69","1000143",2
"70","1000146",2
"71","1000150",1
"72","1000153",1
"73","1000154",2
"74","1000159",1
"75","1000161",1
"76","1000163",1
"77","1000166",2
"78","1000168",1
"79","1000172",2
"80","1000173",2
"81","1000175",2
"82","1000183",4
"83","1000184",2
"84","1000193",1
"85","1000195",1
"86","1000196",1
"87","1000197",1
"88","1000199",2
"89","1000200",1
"90","1000201",1
"91","1000202",1
"92","1000203",1
"93","1000205",2
"94","1000206",1
"95","1000207",1
"96","1000209",2
"97","1000212",1
"98","1000214",6
"99","1000216",1
"100","1000224",2
"101","1000227",9
"102","1000230",1
"103","1000231",2
"104","1000235",1
"105","1000239",1
"106","1000244",1
"107","1000247",1
"108","1000248",1
"109","1000249",2
"110","1000250",1
"111","1000252",1
"112","1000255",2
"113","1000256",2
"114","1000258",5
"115","1000260",2
"116","1000263",1
"117","1000265",2
"118","1000268",2
"119","1000269",1
"120","1000274",1
"121","1000277",1
"122","1000280",2
"123","1000282",2
"124","1000291",1
"125","1000294",1
"126","1000295",1
"127","1000296",2
"128","1000297",2
"129","1000299",1
"130","1000301",2
"131","1000302",2
"132","1000303",1
"133","1000305",1
"134","1000307",1
"135","1000308",1
"136","1000312",1
"137","1000313",2
"138","1000314",2
"139","1000316",1
"140","1000319",1
"141","1000320",1
"142","1000326",1
"143","1000327",1
"144","1000329",1
"145","1000333",1
"146","1000339",3
"147","1000345",1
"148","1000348",1
"149","1000351",1
"150","1000353",2
"151","1000356",1
"152","1000358",4
"153","1000361",2
"154","1000364",2
"155","1000365",1
"156","1000366",1
"157","1000367",1
"158","1000369",2
"159","1000370",2
"160","1000374",2
"161","1000377",1
"162","1000378",1
"163","1000382",1
"164","1000384",1
"165","1000386",1
"166","1000388",1
"167","1000393",1
"168","1000395",1
"169","1000397",1
"170","1000398",2
"171","1000403",5
"172","1000404",1
"173","1000405",1
"174","1000407",2
"175","1000408",3
"176","1000412",2
"177","1000416",2
"178","1000417",2
"179","1000422",1
"180","1000424",2
"181","1000427",1
"182","1000428",1
"183","1000431",1
"184","1000432",1
"185","1000434",1
"186","1000436",2
"187","1000437",2
"188","1000440",1
"189","1000441",2
"190","1000442",2
"191","1000447",1
"192","1000449",1
"193","1000451",2
"194","1000452",1
"195","1000454",1
"196","1000467",1
"197","1000468",1
"198","1000472",1
"199","1000473",2
"200","1000474",2
"201","1000476",2
"202","1000482",3
"203","1000484",2
"204","1000485",1
"205","1000490",1
"206","1000493",1
"207","1000495",2
"208","1000496",1
"209","1000498",3
"210","1000499",4
"211","1000500",3
"212","1000501",1
"213","1000502",3
"214","1000503",2
"215","1000504",1
"216","1000506",1
"217","1000507",1
"218","1000511",2
"219","1000514",1
"220","1000515",2
"221","1000518",2
"222","1000521",1
"223","1000523",1
"224","1000525",1
"225","1000527",2
"226","1000528",2
"227","1000531",1
"228","1000533",2
"229","1000534",1
